Hello, collisional simulations!
Event: 291 2013 0.0006411993464767113
Event: 1321 2398 0.0006411993464767113
Event: 7359 9713 0.0006411993464767113
Event: 8103 9409 0.0006411993464767113
Event: 2058 6414 0.0006411993464767113
Event: 4945 8109 0.0006411993464767113
Event: 5108 7141 0.0006411993464767113
Event: 993 5367 0.0006411993464767113
Event: 1722 3102 0.0006411993464767113
Event: 1387 6539 0.0006411993464767113
Event: 1488 2716 0.0006411993464767113
Event: 1418 8740 0.0006411993464767113
Event: 4301 7049 0.0006466607223145892
Event: 4044 9288 0.0008146182362079191
Event: 1709 8243 0.0008179276770875706
Event: 3182 5844 0.0010069484579151272
Event: 594 7846 0.0010139764764740366
Event: 788 9755 0.0010421423370410412
Event: 131 7906 0.0010502158946080447
Event: 3132 5885 0.0010623954772279493
Event: 4362 9650 0.0010627509788376486
Event: 8212 9477 0.0010794125765810378
Event: 6999 7622 0.0011146281980903593
Event: 3455 5196 0.0011760048682834842
Event: 369 4258 0.0012009626550235557
Event: 6583 9513 0.0012259795049447493
Event: 3655 4809 0.0012562805483502058
Event: 770 4729 0.0012659461792490217
Event: 291 2013 0.0012823986929534226
Event: 2058 6414 0.0012823986929534226
Event: 1321 2398 0.0012823986929534226
Event: 8103 9409 0.0012823986929534226
Event: 7359 9713 0.0012823986929534226
Event: 4945 8109 0.0012823986929534226
Event: 1488 2716 0.0012823986929534226
Event: 1387 6539 0.0012823986929534226
Event: 1418 8740 0.0012823986929534226
Event: 5108 7141 0.0012823986929534226
Event: 993 5367 0.0012823986929534226
Event: 1722 3102 0.0012823986929534226
Event: 2325 4218 0.0013046578404831142
Event: 4301 7049 0.0013239127435532808
Event: 1928 3265 0.0013494662538227088
Event: 4609 5059 0.0013603308554483466
Event: 2277 6670 0.0013626105905027368
Event: 3589 8215 0.001442431984319815
Event: 3484 6340 0.0014461729306815172
Event: 4839 5067 0.0014671582358085748
Event: 5060 6404 0.0014724883919306079
Event: 1315 8255 0.0016158460483897458
Event: 7131 9359 0.0016169319462269764
Event: 1767 7248 0.001623487160456058
Event: 3139 4808 0.0016272153188814798
Event: 4044 9288 0.0016327514144540384
Event: 1709 8243 0.0016619029054578322
Event: 8724 9370 0.0017876219667251779
Event: 2366 5464 0.0017878199638959361
Event: 3560 7791 0.0018022241986059703
Event: 92 5440 0.0018852516901889658
Event: 4434 6982 0.0018929501391647151
Event: 291 2013 0.001923598039430134
Event: 2058 6414 0.001923598039430134
Event: 1321 2398 0.001923598039430134
Event: 993 5367 0.001923598039430134
Event: 4945 8109 0.001923598039430134
Event: 1722 3102 0.001923598039430134
Event: 8103 9409 0.001923598039430134
Event: 7359 9713 0.001923598039430134
Event: 5108 7141 0.001923598039430134
Event: 1387 6539 0.001923598039430134
Event: 1418 8740 0.001923598039430134
Event: 1488 2716 0.001923598039430134
Event: 3182 5844 0.0019886843822123157
Event: 1374 2474 0.002000130667883099
Event: 594 7846 0.002005106863896984
Event: 4301 7049 0.0020331915880634887
Event: 788 9755 0.0020479395726493163
Event: 3132 5885 0.0020905708690039677
Event: 1067 1662 0.0020924887328343245
Event: 131 7906 0.0021432208717375757
Event: 4362 9650 0.002159813728227711
Event: 6999 7622 0.002176242808636305
Event: 8212 9477 0.0021775686961227614
Event: 4976 8743 0.0022121410276423194
Event: 9107 9285 0.0022205212366017265
Event: 6533 9278 0.0023007104484042205
Event: 5939 9672 0.002304117016391535
Event: 1617 5771 0.0023486340290037756
Event: 3455 5196 0.0023528585439994715
Event: 369 4258 0.002361915023601168
Event: 3068 9851 0.002426269797899995
Event: 4044 9288 0.002454376146204195
Event: 3882 5424 0.0024630159874452426
Event: 3655 4809 0.0024662694287546196
Event: 770 4729 0.002471958611653423
Event: 6583 9513 0.0024723163668534487
Event: 1709 8243 0.0025327159369192
Event: 4152 8183 0.002553909744490376
Event: 291 2013 0.0025647973859068453
Event: 1488 2716 0.0025647973859068453
Event: 2058 6414 0.0025647973859068453
Event: 4945 8109 0.0025647973859068453
Event: 993 5367 0.0025647973859068453
Event: 1321 2398 0.0025647973859068453
Event: 5108 7141 0.0025647973859068453
Event: 1418 8740 0.0025647973859068453
Event: 1387 6539 0.0025647973859068453
Event: 1722 3102 0.0025647973859068453
Event: 8103 9409 0.0025647973859068453
